Country,Area,Age,Survey Availability ,Year,Time use,Women
Albania, ,Age:10+,2005 and later,2010-11,"Unpaid domestic, care and volunteer work",5.216666667
Albania, ,Age:10+,2005 and later,2010-11,Paid and subsistence work,1.933333333
Algeria, ,Age:12+,2005 and later,2012,"Unpaid domestic, care and volunteer work",5.3
Algeria, ,Age:12+,2005 and later,2012,Paid and subsistence work,0.5
Argentina, ,Age:15-74,2005 and later,2005,"Unpaid domestic, care and volunteer work",4.016666667
Argentina, ,Age:15-74,2005 and later,2005,Paid and subsistence work,2.75
Argentina, ,Age:18+,2005 and later,2013,"Unpaid domestic, care and volunteer work",5.816666667
Argentina, ,Age:18+,2005 and later,2013,Paid and subsistence work,
Armenia, ,Age:15-80,1995 - 2004,2004,"Unpaid domestic, care and volunteer work",5.766666667
Armenia, ,Age:15-80,1995 - 2004,2004,Paid and subsistence work,1.733333333
Armenia, ,Age:15-80,2005 and later,2008,"Unpaid domestic, care and volunteer work",5.2
Armenia, ,Age:15-80,2005 and later,2008,Paid and subsistence work,1.683333333
Australia, ,Age:15+,1985 - 1994,1992,"Unpaid domestic, care and volunteer work",5.1
Australia, ,Age:15+,1985 - 1994,1992,Paid and subsistence work,2.1
Australia, ,Age:15+,1995 - 2004,1997,"Unpaid domestic, care and volunteer work",5.05
Australia, ,Age:15+,1995 - 2004,1997,Paid and subsistence work,2.2
Australia, ,Age:15+,2005 and later,2006,"Unpaid domestic, care and volunteer work",5.216666667
Australia, ,Age:15+,2005 and later,2006,Paid and subsistence work,2.35
Austria, ,Age:20-74,1985 - 1994,1992,"Unpaid domestic, care and volunteer work",5.266666667
Austria, ,Age:20-74,1985 - 1994,1992,Paid and subsistence work,2.233333333
Austria, ,Age:20-74,2005 and later,2008-09,"Unpaid domestic, care and volunteer work",4.066666667
Austria, ,Age:20-74,2005 and later,2008-09,Paid and subsistence work,2.433333333
Azerbaijan, ,Age:15+,2005 and later,2008,"Unpaid domestic, care and volunteer work",6.1
Azerbaijan, ,Age:15+,2005 and later,2008,Paid and subsistence work,1.733333333
Belarus, ,Age:10+,2005 and later,2014-15,"Unpaid domestic, care and volunteer work",4.866666667
Belarus, ,Age:10+,2005 and later,2014-15,Paid and subsistence work,3.2
Belgium, ,Age:12+,1998-00,1998-00,"Unpaid domestic, care and volunteer work",3.983333333
